FID	IID	SSN
A572	A28861	Plate33.45
A828	A26646	Plate28.71
A726	A66911	Plate28.14
A753	A77367	Plate33.15
A648	A53340	Plate28.25
A453	A21324	Plate28.30
A34	A21165	Plate28.50
NA6603	NA66032	Plate33.33
A726	A78513	Plate28.13
A407	A23222	Plate28.11
NA3305	NA33052	Plate33.55
NA3305	NA33051	Plate33.54
A825	A26894	Plate28.95
A695	A73953	Plate28.1
NA2032	NA20321	Plate33.5
A464	A75293	Plate33.29
A508	A41711	Plate33.58
A861	A88360	Plate28.68
A832	A29845	Plate28.77
NA9132	NA91322	Plate28.23
A827	A84596	Plate28.89
A35	A49349	Plate28.48
A453	A10654	Plate28.5
A701	A63035	Plate28.21
A436	A30697	Plate28.93
A687	A48391	Plate33.12
A759	A43601	Plate33.49
A464	A65371	Plate33.28
NA9396	NA93962	Plate33.60
A524	A48967	Plate28.61
A494	A50427	Plate33.4
A407	A67781	Plate28.12
NA8632	NA86322	Plate28.81
A736	A19563	Plate28.10
NA6013	NA60132	Plate33.44
A648	A50363	Plate28.24
A777	A54137	Plate33.56
A661	A84714	Plate28.9
A701	A14186	Plate28.20
A537	A57722	Plate28.34
A698	A28158	Plate28.26
A775	A48431	Plate28.16
A833	A56895	Plate28.79
A585	A68866	Plate28.17
A792	A94654	Plate28.84
A860	A89937	Plate28.46
A537	A16155	Plate28.35
A393	A79021	Plate33.36
A687	A22845	Plate33.13
A524	A40774	Plate28.62
A764	A94659	Plate33.34
A874	A18334	Plate33.24
A834	A69757	Plate28.74
A833	A94897	Plate28.78
A860	A14641	Plate28.47
NA6013	NA60131	Plate33.43
A740	A34423	Plate28.55
A35	A89918	Plate28.49
NA5530	NA55302	Plate28.33
NA9159	NA91592	Plate28.83
A828	A86549	Plate28.72
A829	A74265	Plate28.45
NA1514	NA15142	Plate33.41
A698	A87594	Plate28.27
A508	A16357	Plate33.37
NA9396	NA93961	Plate33.59
A481	A17475	Plate28.60
A842	A48948	Plate32.41
A773	A65839	Plate32.55
NA197	NA1972	Plate32.22
A733	A17082	Plate32.60
A601	A15702	Plate32.73
A460	A14379	Plate32.15
A796	A35844	Plate32.54
NA3057	NA30572	Plate34.27
A293	A50028	PlateRedo3.38
A498	A40391	Plate32.4
A443	A51891	Plate32.31
A774	A48796	Plate32.84
NA5331	NA53312	Plate32.52
NA959	NA9592	Plate32.12
A527	A19016	Plate32.64
A385	A10244	Plate32.65
A440	A33008	Plate32.14
NA9403	NA94032	Plate34.64
A769	A43331	Plate32.67
A89	A35459	Plate34.7
A526	A24095	Plate32.47
NA6698	NA66982	PlateRedo3.41
A505	A96392	Plate32.89
A440	A61130	Plate32.13
A293	A90993	Plate34.52
A789	A55634	Plate32.90
A246	A18237	Plate34.67
A796	A94475	Plate32.53
NA3016	NA30161	Plate34.14
A505	A11282	Plate32.87
A556	A46514	Plate32.59
A771	A95685	Plate32.78
A765	A56655	Plate32.75
NA7242	NA72421	Plate34.44
A525	A88152	Plate32.50
A500	A79550	Plate32.43
NA5455	NA54552	Plate34.30
A227	A80849	PlateRedo3.18
A460	A68352	Plate32.17
A385	A78030	Plate32.66
A303	A90695	PlateRedo3.26
A770	A20408	Plate32.82
A248	A15059	Plate34.4
A68	A57524	Plate34.66
NA959	NA9591	Plate32.11
A121	A87107	Plate34.17
A789	A49582	Plate32.92
NA1069	NA10691	Plate32.27
A245	A55689	Plate34.84
NA3005	NA30051	Plate32.62
A556	A98757	Plate32.58
A749	A11019	Plate32.3
NA9453	NA94532	Plate34.57
NA5066	NA50661	Plate34.28
A512	A84271	Plate32.40
A456	A22870	Plate32.33
A246	A42755	Plate34.61
A136	A70903	Plate34.40
A634	A84372	Plate32.5
NA197	NA1971	Plate32.21
NA5331	NA53311	Plate32.51
NA5066	NA50662	Plate34.33
NA9226	NA92261	PlateRedo3.29
A770	A81067	Plate32.81
A248	A20547	Plate34.3
A773	A44595	Plate32.56
NA5455	NA54551	Plate34.22
A443	A66309	Plate32.32
A104	A14172	Plate34.37
A425	A33369	Plate32.37
A109	A18955	Plate34.54
NA3003	NA30031	Plate32.8
A500	A64805	Plate32.44
A838	A59050	Plate32.35
A733	A10938	Plate32.61
NA704	NA7041	Plate34.38
A765	A16195	Plate32.76
A511	A92306	Plate32.94
A100	A28481	Plate34.12
A223	A66875	Plate34.36
A525	A45935	Plate32.49
A266	A77322	Plate34.92
A526	A93841	Plate32.48
A456	A64065	Plate32.34
A343	A76646	Plate34.76
A8	A17310	Plate34.69
NA6614	NA66141	PlateRedo3.7
A774	A87290	Plate32.85
NA3067	NA30671	PlateRedo3.11
A771	A22694	Plate32.77
A91	A63715	Plate34.53
A328	A42523	PlateRedo3.37
NA5245	NA52451	Plate34.73
A325	A53746	Plate34.20
A357	A14277	Plate34.49
A841	A45853	Plate32.80
NA9550	NA95502	Plate34.91
NA165	NA1651	Plate32.45
NA9673	NA96732	Plate34.74
A551	A98843	Plate32.96
NA5217	NA52171	Plate34.39
A31	A12705	Plate34.10
A838	A77862	Plate32.36
A815	A88068	Plate32.23
A91	A16225	Plate34.60
NA9453	NA94531	Plate34.58
NA9673	NA96731	Plate34.77
NA5463	NA54631	PlateRedo3.4
A248	A15059	Plate34.1
NA9705	NA97052	PlateRedo3.2
A149	A55085	PlateRedo3.3
NA3034	NA30342	Plate34.65
A811	A91204	Plate32.9
A170	A91466	PlateRedo3.9
A842	A15756	Plate32.42
NA5362	NA53621	Plate5.4
NA5239	NA52391	Plate5.20
NA5260	NA52601	Plate5.72
NA289	NA2891	Plate5.59
NA5362	NA53622	Plate5.2
NA3245	NA32451	Plate5.52
NA5200	NA52001	Plate5.31
NA5915	NA59152	Plate5.89
NA5260	NA52602	Plate5.71
NA20	NA201	Plate5.11
NA5279	NA52791	Plate5.36
NA3088	NA30881	Plate5.74
NA97	NA971	Plate5.91
NA6676	NA66761	Plate5.47
NA3422	NA34221	Plate5.78
NA3088	NA30882	Plate5.79
NA3020	NA30202	Plate5.86
NA9046	NA90461	Plate5.40
NA119	NA1192	Plate5.83
NA5127	NA51271	Plate5.94
NA3031	NA30312	Plate5.7
NA9689	NA96892	Plate5.19
NA9561	NA95611	Plate5.77
NA5983	NA59832	Plate5.16
NA5158	NA51581	Plate5.70
NA3245	NA32452	Plate5.69
NA3327	NA33271	Plate5.33
NA97	NA972	Plate5.92
NA7721	NA77211	Plate5.68
NA9561	NA95612	Plate5.50
NA9039	NA90392	Plate5.61
NA5773	NA57732	Plate5.60
NA8120	NA81201	Plate5.10
NA3001	NA30012	Plate5.76
NA138	NA1382	Plate5.25
NA6698	NA66982	Plate5.8
NA5942	NA59421	Plate5.82
NA5947	NA59471	Plate5.48
NA6432	NA64321	Plate5.14
NA9132	NA91321	Plate5.54
NA5575	NA55752	Plate5.66
NA5340	NA53402	Plate5.29
NA119	NA1191	Plate5.80
NA9451	NA94512	Plate5.43
NA5213	NA52132	Plate5.56
NA5915	NA59151	Plate5.87
NA2032	NA20321	Plate5.39
NA2370	NA23701	Plate5.62
NA2370	NA23702	Plate5.65
NA3319	NA33191	Plate5.13
NA5049	NA50492	Plate5.24
NA6551	NA65512	Plate5.15
NA5983	NA59831	Plate5.81
NA6698	NA66981	Plate5.9
NA5804	NA58041	Plate5.23
NA9936	NA99361	Plate5.28
NA5942	NA59422	Plate5.84
NA5213	NA52131	Plate5.51
NA9960	NA99601	Plate5.63
NA9800	NA98002	Plate5.17
NA5239	NA52392	Plate5.18
NA3406	NA34061	Plate5.58
NA9039	NA90391	Plate5.67
NA3031	NA30311	Plate5.1
NA138	NA1381	Plate5.27
NA9132	NA91322	Plate5.57
NA5530	NA55302	Plate5.75
NA9920	NA99201	Plate5.88
NA5133	NA51331	Plate5.6
NA703	NA7031	Plate5.30
NA3398	NA33981	Plate5.55
NA9961	NA99611	Plate5.64
NA3230	NA32302	Plate5.49
NA5151	NA51511	Plate5.34
NA3014	NA30141	Plate5.45
NA289	NA2892	Plate5.44
NA9226	NA92262	Plate5.32
NA265	NA2652	Plate5.38
NA265	NA2651	Plate5.35
NA9451	NA94511	Plate5.42
NA7696	NA76962	Plate5.93
NA9545	NA95451	Plate5.3
NA3398	NA33982	Plate5.53
NA5200	NA52002	Plate5.90
NA2012	NA20122	Plate6.8
NA3233	NA32332	Plate6.2
NA2226	NA22261	Plate6.17
NA3021	NA30211	Plate6.57
NA197	NA1972	Plate6.9
NA37	NA372	Plate6.75
NA6043	NA60431	Plate6.40
NA2144	NA21441	Plate6.55
NA5335	NA53351	Plate6.7
NA5387	NA53872	Plate6.19
NA3206	NA32062	Plate6.32
NA9698	NA96982	Plate6.69
NA78	NA782	Plate6.29
NA9960	NA99602	Plate6.6
NA9465	NA94652	Plate6.4
NA9673	NA96732	Plate6.15
NA5114	NA51142	Plate6.30
NA2031	NA20311	Plate6.89
NA3314	NA33142	Plate6.12
NA5882	NA58821	Plate6.68
NA251	NA2512	Plate6.88
NA7082	NA70822	Plate6.56
NA931	NA9311	Plate6.35
NA5216	NA52162	Plate6.81
NA959	NA9591	Plate6.73
NA2012	NA20121	Plate6.20
NA5228	NA52282	Plate6.44
NA37	NA371	Plate6.76
NA5735	NA57352	Plate6.74
NA6590	NA65902	Plate6.47
NA582	NA5822	Plate6.79
NA5216	NA52161	Plate6.83
NA2055	NA20552	Plate6.61
NA249	NA2492	Plate6.38
NA6614	NA66141	Plate6.18
NA9227	NA92271	Plate6.24
NA9961	NA99612	Plate6.5
NA7099	NA70991	Plate6.10
NA5097	NA50971	Plate6.63
NA9673	NA96731	Plate6.21
NA2299	NA22991	Plate6.86
NA3003	NA30031	Plate6.87
NA931	NA9312	Plate6.36
NA9929	NA99292	Plate6.80
NA8037	NA80371	Plate6.43
NA6059	NA60592	Plate6.31
NA5909	NA59091	Plate6.58
NA2056	NA20561	Plate6.84
NA5245	NA52451	Plate6.11
NA5329	NA53291	Plate6.71
NA5417	NA54171	Plate6.77
NA1582	NA15822	Plate6.66
NA6056	NA60561	Plate6.3
NA251	NA2511	Plate6.27
NA2143	NA21431	Plate6.54
NA2056	NA20562	Plate6.82
NA38	NA381	Plate6.25
NA3226	NA32261	Plate6.41
NA6551	NA65511	Plate6.23
NA2128	NA21282	Plate6.64
NA2055	NA20551	Plate6.65
NA5114	NA51141	Plate6.90
NA9929	NA99291	Plate6.52
NA2150	NA21502	Plate6.14
NA9227	NA92272	Plate6.16
NA959	NA9592	Plate6.51
NA582	NA5821	Plate6.70
NA5735	NA57351	Plate6.62
NA5097	NA50972	Plate6.67
NA414	NA4142	Plate6.60
NA179	NA1792	Plate6.13
NA7696	NA76961	Plate6.1
NA7242	NA72422	Plate6.93
NA3206	NA32061	Plate6.33
NA3021	NA30212	Plate6.53
NA5290	NA52901	Plate6.34
NA802	NA8022	Plate6.48
NA1171	NA11712	Plate6.28
NA5277	NA52771	Plate6.22
NA5882	NA58822	Plate6.72
NA5207	NA52071	Plate6.49
NA2143	NA21432	Plate6.78
NA7242	NA72421	Plate6.92
NA3060	NA30601	Plate6.42
NA5228	NA52281	Plate6.39
NA414	NA4141	Plate6.50
NA3056	NA30561	Plate7.90
NA5066	NA50661	Plate7.41
NA3056	NA30562	Plate7.92
NA5987	NA59872	Plate7.28
NA7172	NA71722	Plate7.73
NA5903	NA59032	Plate7.65
NA5956	NA59561	Plate7.72
NA124	NA1242	Plate7.39
NA6433	NA64332	Plate7.77
NA5220	NA52202	Plate7.51
NA5079	NA50791	Plate7.52
NA31	NA312	Plate7.61
NA3057	NA30571	Plate7.1
NA5927	NA59272	Plate7.34
NA5606	NA56062	Plate7.69
NA5209	NA52092	Plate7.76
NA972	NA9721	Plate7.24
NA5442	NA54421	Plate7.64
NA5750	NA57501	Plate7.70
NA983	NA9831	Plate7.60
NA6081	NA60812	Plate7.50
NA38	NA382	Plate7.5
NA5442	NA54422	Plate7.74
NA2085	NA20852	Plate7.82
NA486	NA4862	Plate7.23
NA43	NA431	Plate7.3
NA6043	NA60432	Plate7.33
NA7172	NA71721	Plate7.75
NA5272	NA52721	Plate7.78
NA5369	NA53692	Plate7.84
NA6603	NA66032	Plate7.67
NA3072	NA30721	Plate7.40
NA5291	NA52912	Plate7.91
NA9395	NA93952	Plate7.4
NA9395	NA93951	Plate7.12
NA1582	NA15821	Plate7.8
NA973	NA9731	Plate7.80
NA5381	NA53811	Plate7.93
NA1032	NA10321	Plate7.29
NA5220	NA52201	Plate7.58
NA165	NA1652	Plate7.19
NA165	NA1651	Plate7.14
NA5590	NA55901	Plate7.71
NA5162	NA51622	Plate7.6
NA5079	NA50792	Plate7.54
NA5881	NA58811	Plate7.36
NA5221	NA52211	Plate7.21
NA6	NA62	Plate7.63
NA5268	NA52682	Plate7.20
NA456	NA4562	Plate7.66
NA7169	NA71691	Plate7.48
NA2408	NA24081	Plate7.30
NA9654	NA96542	Plate7.31
NA1466	NA14661	Plate7.10
NA1626	NA16262	Plate7.57
NA802	NA8021	Plate7.25
NA5956	NA59562	Plate7.79
NA5272	NA52722	Plate7.86
NA5521	NA55211	Plate7.11
NA3003	NA30032	Plate7.2
NA6590	NA65901	Plate7.27
NA43	NA432	Plate7.17
NA5214	NA52141	Plate7.87
NA5521	NA55212	Plate7.13
NA73	NA731	Plate7.45
NA5173	NA51731	Plate7.35
NA7962	NA79622	Plate7.62
NA7962	NA79621	Plate7.56
NA5221	NA52212	Plate7.18
NA9705	NA97051	Plate7.89
NA5881	NA58812	Plate7.42
NA3444	NA34442	Plate7.15
NA124	NA1241	Plate7.38
NA7169	NA71692	Plate7.53
NA5162	NA51621	Plate7.7
NA5291	NA52911	Plate7.88
NA5405	NA54051	Plate7.83
NA5331	NA53311	Plate7.55
NA5591	NA55912	Plate8.44
NA6679	NA66791	Plate8.90
NA5938	NA59382	Plate8.54
NA3338	NA33381	Plate8.78
NA2212	NA22122	Plate8.91
NA857	NA8571	Plate8.41
NA2089	NA20891	Plate8.48
NA5187	NA51872	Plate8.57
NA137	NA1372	Plate8.30
NA5452	NA54522	Plate8.25
NA446	NA4461	Plate8.20
NA843	NA8432	Plate8.8
NA3041	NA30412	Plate8.21
NA6689	NA66892	Plate8.45
NA442	NA4421	Plate8.70
NA7746	NA77462	Plate8.29
NA9229	NA92292	Plate8.60
NA5090	NA50902	Plate8.71
NA2089	NA20892	Plate8.47
NA2119	NA21192	Plate8.31
NA5895	NA58952	Plate8.51
NA201	NA2011	Plate8.18
NA9394	NA93942	Plate8.79
NA9130	NA91302	Plate8.11
NA463	NA4632	Plate8.34
NA8230	NA82301	Plate8.50
NA6689	NA66891	Plate8.40
NA2119	NA21191	Plate8.35
NA3338	NA33382	Plate8.94
NA5743	NA57432	Plate8.32
NA3041	NA30411	Plate8.42
NA3034	NA30342	Plate8.59
NA6665	NA66651	Plate8.26
NA6465	NA64651	Plate8.27
NA417	NA4172	Plate8.15
NA3080	NA30802	Plate8.19
NA38	NA381	Plate8.52
NA2129	NA21292	Plate8.17
NA857	NA8572	Plate8.39
NA2129	NA21291	Plate8.6
NA7493	NA74931	Plate8.10
NA7138	NA71381	Plate8.24
NA5361	NA53611	Plate8.14
NA5767	NA57671	Plate8.5
NA5382	NA53822	Plate8.72
NA968	NA9682	Plate8.33
NA5743	NA57431	Plate8.36
NA5933	NA59331	Plate8.84
NA5381	NA53812	Plate8.4
NA843	NA8431	Plate8.1
NA6473	NA64732	Plate8.16
NA6603	NA66032	Plate8.49
NA9705	NA97052	Plate8.7
NA3221	NA32211	Plate8.43
NA6465	NA64652	Plate8.28
NA5895	NA58951	Plate8.53
NA263	NA2631	Plate8.2
NA417	NA4171	Plate8.9
NA5463	NA54632	Plate9.33
NA5869	NA58691	Plate9.65
NA5711	NA57111	Plate9.1
NA5273	NA52731	Plate9.5
NA5096	NA50961	Plate9.25
NA741	NA7412	Plate9.53
NA9137	NA91371	Plate9.46
NA5167	NA51671	Plate9.6
NA3067	NA30671	Plate9.96
NA2690	NA26902	Plate9.61
NA488	NA4881	Plate9.72
NA5057	NA50572	Plate9.58
NA3016	NA30162	Plate9.2
NA1744	NA17441	Plate9.24
NA9949	NA99492	Plate9.78
NA3436	NA34361	Plate9.79
NA5722	NA57222	Plate9.59
NA3343	NA33432	Plate9.87
NA5235	NA52351	Plate9.60
NA5847	NA58472	Plate9.20
NA9260	NA92602	Plate9.91
NA3298	NA32981	Plate9.30
NA5937	NA59371	Plate9.52
NA703	NA7031	Plate9.84
NA3298	NA32982	Plate9.81
NA179	NA1792	Plate9.71
NA2690	NA26901	Plate9.54
NA9260	NA92601	Plate9.44
NA6610	NA66101	Plate9.62
NA3455	NA34552	Plate9.21
NA9419	NA94192	Plate9.75
NA6675	NA66751	Plate9.64
NA5093	NA50932	Plate9.92
NA6034	NA60341	Plate9.45
NA5463	NA54631	Plate9.42
NA9245	NA92452	Plate9.68
NA971	NA9711	Plate9.50
NA1474	NA14742	Plate9.28
NA9210	NA92102	Plate9.49
NA5406	NA54062	Plate9.57
NA5247	NA52471	Plate9.3
NA6034	NA60342	Plate9.70
NA1489	NA14891	Plate9.32
NA5722	NA57221	Plate9.66
NA56	NA562	Plate9.26
NA3024	NA30241	Plate9.35
NA665	NA6652	Plate9.9
NA1744	NA17442	Plate9.27
NA5847	NA58471	Plate9.40
NA3449	NA34491	Plate9.15
NA8632	NA86321	Plate9.34
NA5096	NA50962	Plate9.38
NA5298	NA52982	Plate9.37
A1312	A26014	Plate40.16
NA3255	NA32551	Plate40.79
A1350	A41857	Plate40.6
A899	A10810	Plate40.57
A1252	A19652	Plate40.67
A1139	A12004	Plate34.2.28
A1218	A82284	Plate40.72
NA8109	NA81092	Plate34.2.12
NA3406	NA34061	Plate34.2.41
A1228	A17323	Plate34.2.32
A1208	A81826	Plate40.74
A1094	A52437	Plate40.76
A926	A21136	Plate40.52
A1313	A15837	Plate34.2.82
A1205	A80729	Plate40.8
A919	A80079	Plate40.2
A942	A17413	Plate40.31
A1285	A25384	Plate40.15
A1134	A85756	Plate40.64
A1180	A26210	Plate40.46
A1372	A59698	Plate34.2.11
A1127	A45672	Plate34.2.65
A1341	A36697	Plate34.2.76
A926	A58659	Plate40.51
NA2691	NA26912	Plate34.2.49
A1075	A86114	Plate40.49
A917	A10146	Plate40.20
A1191	A47791	Plate40.41
NA3465	NA34652	Plate34.2.24
A1316	A75476	Plate34.2.27
NA3465	NA34651	Plate34.2.23
A1049	A78748	Plate34.2.38
A1138	A10767	Plate40.68
A899	A82901	Plate40.58
A1326	A25760	Plate34.2.45
NA117	NA1172	Plate40.54
NA5956	NA59562	Plate40.10
A1304	A45584	Plate34.2.57
A274	A56618	Plate40.86
A1321	A80900	Plate34.2.60
A1133	A65637	Plate40.45
A1172	A40091	Plate34.2.71
A1309	A92623	Plate34.2.20
A1398	A56491	Plate34.2.16
A1412	A63863	Plate40.4
A1338	A10887	Plate40.35
NA5235	NA52351	Plate34.2.79
A1412	A66767	Plate40.3
NA5210	NA52101	Plate34.2.25
A1316	A59538	Plate34.2.26
A1326	A50991	Plate34.2.44
A1270	A12492	Plate40.77
NA117	NA1171	Plate40.53
A1282	A61417	Plate40.63
NA2056	NA20562	Plate34.2.53
A1308	A33662	Plate40.27
NA9845	NA98451	Plate40.83
A1429	A37382	Plate34.2.33
A1075	A14590	Plate40.48
A1393	A13721	Plate34.2.5
A942	A19787	Plate40.30
NA5818	NA58181	Plate34.2.56
A916	A50637	Plate34.2.43
A1047	A77060	Plate34.2.88
A1350	A96563	Plate40.5
A1137	A37881	Plate40.38
NA9045	NA90451	Plate34.2.2
NA1486	NA14861	Plate34.2.63
NA3215	NA32152	Plate40.19
A1211	A74140	Plate34.2.34
A1274	A19842	Plate40.43
NA9039	NA90391	Plate40.13
NA5235	NA52352	Plate34.2.80
A1331	A29869	Plate34.2.4
NA3069	NA30691	Plate34.2.22
A1113	A46796	Plate40.55
A1305	A14104	Plate40.70
A1208	A37600	Plate40.73
NA9845	NA98452	Plate40.84
NA2055	NA20551	Plate34.2.13
A1094	A91203	Plate40.75
NA5590	NA55902	Plate40.33
A1342	A96477	Plate34.2.68
A980	A34014	Plate34.2.50
A1154	A38947	Plate40.56
A1172	A19233	Plate34.2.72
A702	A19032	Plate40.1
A1304	A80188	Plate34.2.58
A1331	A56596	Plate34.2.3
A1191	A18959	Plate40.42
A1259	A52418	Plate40.21
NA1486	NA14862	Plate34.2.64
NA5804	NA58041	Plate34.2.55
A1309	A70908	Plate34.2.21
A1255	A20283	Plate40.90
A1242	A53291	Plate40.36
A1282	A97447	Plate40.62
A1338	A34564	Plate40.34
A1252	A37453	Plate40.66
A1305	A19122	Plate40.65
A1308	A13227	Plate40.26
A985	A94144	Plate34.2.77
A1138	A69881	Plate40.69
NA2055	NA20552	Plate34.2.14
NA5187	NA51872	Plate40.29
A1127	A57134	Plate34.2.66
NA5590	NA55901	Plate40.32
A1301	A60601	Plate34.2.18
A1049	A15154	Plate34.2.37
A1218	A37441	Plate40.71
A1342	A48956	Plate34.2.67
A1019	A15193	Plate40.12
A1341	A53549	Plate34.2.75
A1242	A19376	Plate40.37
A1393	A10336	Plate34.2.6
A1287	A63929	Plate34.2.9
A1398	A13375	Plate34.2.17
NA3255	NA32552	Plate40.80
A1307	A93970	Plate40.17
NA5956	NA59561	Plate40.9
A980	A18504	Plate34.2.51
A1064	A79951	Plate34.2.59
A1328	A85730	Plate34.2.73
A898	A10882	Plate40.50
A1313	A42195	Plate34.2.81
A1180	A20333	Plate40.47
A1274	A34689	Plate40.44
A1211	A50715	Plate34.2.35
A1136	A62642	Plate34.2.54
A274	A89125	Plate40.85
A1287	A14440	Plate34.2.8
A1324	A11393	Plate34.2.1
A1423	A28198	Plate34.2.30
A964	A58306	Plate34.2.61
A1000	A10408	Plate34.2.84
A985	A20868	Plate34.2.78
A1328	A12562	Plate34.2.74
A1423	A66321	Plate34.2.31
A1310	A11640	Plate34.2.46
NA1467	NA14671	Plate34.2.89
A1310	A92261	Plate34.2.47
NA2691	NA26911	Plate34.2.48
NA3406	NA34062	Plate34.2.42
NA2056	NA20561	Plate34.2.52
A1129	A13684	Plate40.61
A1213	A41845	Plate40.24
A964	A33835	Plate34.2.62
NA3215	NA32151	Plate40.18
NA3069	NA30692	Plate34.2.15
A1065	A24176	Plate35.48
NA9451	NA94512	Plate36.81
A1303	A89305	Plate36.78
A1268	A80721	Plate36.87
A1314	A96718	Plate35.76
A991	A98768	Plate35.31
A1332	A89548	Plate36.3
A1409	A99098	Plate36.7
A975	A49391	Plate35.35
A1378	A37192	Plate35.46
A1080	A20043	Plate36.35
NA2150	NA21502	Plate36.61
NA5558	NA55581	Plate36.49
NA5869	NA58691	Plate35.8
NA1626	NA16261	Plate35.20
A1206	A15741	Plate35.27
NA5804	NA58042	Plate35.42
A1291	A19154	Plate36.52
NA9137	NA91371	Plate36.46
NA5856	NA58561	Plate35.28
NA5881	NA58812	Plate35.16
A895	A12221	Plate36.48
A1041	A13488	Plate35.60
A933	A20258	Plate35.81
A1407	A88532	Plate35.85
A1387	A14468	Plate36.1
NA5362	NA53621	Plate36.33
A1164	A76409	Plate36.22
NA9929	NA99291	Plate35.6
A1311	A26711	Plate35.70
A948	A44317	Plate35.55
NA3020	NA30202	Plate36.75
A1158	A17212	Plate36.69
A1407	A18516	Plate35.84
A1426	A76266	Plate35.24
A1011	A35299	Plate36.2
A1226	A53835	Plate36.71
A1072	A59475	Plate36.44
NA9245	NA92451	Plate36.36
NA2690	NA26901	Plate36.39
A910	A56224	Plate36.57
A1380	A57086	Plate36.41
NA6824	NA68242	Plate35.44
NA159	NA1591	Plate36.56
A1156	A21221	Plate36.43
A963	A65882	Plate35.65
A1299	A40650	Plate35.74
A989	A11044	Plate35.82
A1325	A23593	Plate35.4
A1384	A32550	Plate35.61
A1299	A96218	Plate35.75
A998	A18128	Plate36.30
NA1489	NA14892	Plate35.49
A1258	A22331	Plate36.4
A1323	A54547	Plate36.12
A1042	A63268	Plate35.38
NA5881	NA58811	Plate35.15
NA6056	NA60562	Plate36.64
A1055	A77708	Plate35.30
NA6824	NA68241	Plate35.43
NA97	NA971	Plate36.40
A1031	A51750	Plate36.59
A1190	A16412	Plate36.29
A1269	A77923	Plate36.23
A1163	A14138	Plate35.47
A1406	A10717	Plate36.74
A1249	A43110	Plate35.63
A1408	A90691	Plate35.23
A948	A11267	Plate35.56
NA9692	NA96922	Plate36.62
A1317	A16761	Plate35.58
A991	A63500	Plate35.32
A944	A12212	Plate35.72
NA3041	NA30412	Plate36.60
NA5949	NA59491	Plate36.15
A1336	A11859	Plate36.31
A1426	A22103	Plate35.25
A907	A18766	Plate36.8
A1388	A15488	Plate35.50
A1260	A74593	Plate36.42
A988	A26872	Plate36.9
A1041	A87932	Plate35.59
A1427	A19747	Plate36.28
A1189	A80513	Plate35.18
A1038	A34639	Plate36.50
A1400	A97240	Plate36.26
NA1626	NA16262	Plate35.21
A1408	A12621	Plate35.22
A1131	A11665	Plate36.11
A1059	A73644	Plate35.1
A963	A14329	Plate35.66
A993	A11530	Plate36.10
A978	A24502	Plate35.34
A1001	A58315	Plate36.32
A1421	A99560	Plate35.68
A1424	A89596	Plate36.51
A1297	A84693	Plate35.64
A1059	A65336	Plate35.2
A996	A55504	Plate36.58
A981	A74523	Plate35.13
NA5909	NA59091	Plate36.6
NA9133	NA91331	Plate36.73
NA5847	NA58472	Plate36.34
A1325	A18664	Plate35.3
A268	A17357	Plate35.54
A1385	A12089	Plate36.67
A1293	A59963	Plate36.53
A1391	A80922	Plate36.25
A1141	A19836	Plate35.86
A1329	A45255	Plate35.10
NA5575	NA55751	Plate35.79
A1032	A44300	Plate36.19
NA5575	NA55752	Plate35.80
NA9689	NA96891	Plate35.40
A973	A97720	Plate36.77
A1275	A10599	Plate36.37
A1034	A50777	Plate36.24
NA9689	NA96892	Plate35.41
NA3080	NA30802	Plate36.45
A1115	A71040	Plate36.63
A1206	A74088	Plate35.26
NA9137	NA91372	Plate36.47
A1388	A17204	Plate35.51
A1193	A95956	Plate36.16
A1038	A11632	Plate36.55
A907	A97259	Plate35.73
A1161	A41354	Plate36.76
A1132	A66262	Plate36.20
A1329	A31706	Plate35.11
NA3021	NA30212	Plate36.70
A1188	A86897	Plate36.66
A1162	A26733	Plate36.54
A944	A12915	Plate35.71
NA5857	NA58572	Plate35.37
A1015	A82275	Plate36.86
A981	A34976	Plate35.14
A1042	A15471	Plate35.39
NA5856	NA58562	Plate35.29
A1377	A84958	Plate35.78
A1189	A99602	Plate35.19
A1111	A20688	Plate36.17
A1330	A49457	Plate38.82
A1260	A61503	Plate37.45
A1332	A18745	Plate37.4
NA9245	NA92452	Plate37.37
A1245	A39783	Plate38.64
A1241	A12117	Plate37.73
A1323	A28747	Plate37.13
A1374	A28623	Plate38.32
A1201	A25536	Plate37.68
A1258	A56453	Plate37.5
A1179	A48052	Plate38.11
A1375	A12001	Plate38.88
A1131	A92882	Plate37.12
A1222	A93649	Plate38.47
A1250	A13023	Plate38.71
A1291	A54265	Plate37.53
NA3041	NA30411	Plate37.61
NA3080	NA30801	Plate37.55
NA97	NA972	Plate37.46
NA2370	NA23701	Plate38.66
A1124	A16002	Plate38.83
A1271	A98753	Plate37.83
A1030	A86161	Plate38.68
A1123	A86152	Plate37.57
NA7082	NA70821	Plate38.42
NA5200	NA52002	Plate38.90
NA9692	NA96921	Plate37.63
A1152	A89911	Plate38.8
A1060	A10232	Plate38.27
A1168	A43964	Plate37.76
NA5949	NA59492	Plate37.16
NA5502	NA55021	Plate37.86
A1053	A50863	Plate37.27
A1391	A61305	Plate37.25
A1410	A11533	Plate37.47
A1250	A85060	Plate38.72
A1303	A47726	Plate37.78
NA6679	NA66791	Plate38.2
A1092	A24190	Plate37.35
A1424	A20140	Plate37.51
A1385	A21217	Plate37.67
NA159	NA1592	Plate37.58
